document_id,clean_text,sentiment
51,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
52,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
53,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
54,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
55,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
56,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
57,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
58,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
59,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
60,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
61,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
62,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
63,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
64,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
65,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
66,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
67,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
68,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
69,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
70,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
71,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
72,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
73,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
74,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
75,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
76,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
77,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
78,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
79,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
80,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
81,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
82,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
83,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
84,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
85,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
86,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
87,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
88,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
89,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
90,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
91,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
92,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
93,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
94,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
95,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
96,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
97,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
98,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
99,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
100,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
101,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
